"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","developers.cardano.org/75.2.60.5","443","INFO","HTTP","",""
"pre_128cipher","developers.cardano.org/75.2.60.5","443","INFO","No 128 cipher limit bug","",""
"SSLv2","developers.cardano.org/75.2.60.5","443","OK","not offered","",""
"SSLv3","developers.cardano.org/75.2.60.5","443","OK","not offered","",""
"TLS1","developers.cardano.org/75.2.60.5","443","INFO","not offered","",""
"TLS1_1","developers.cardano.org/75.2.60.5","443","INFO","not offered","",""
"TLS1_2","developers.cardano.org/75.2.60.5","443","OK","offered","",""
"TLS1_3","developers.cardano.org/75.2.60.5","443","OK","offered with final","",""
"ALPN_HTTP2","developers.cardano.org/75.2.60.5","443","OK","h2","",""
"ALPN","developers.cardano.org/75.2.60.5","443","INFO","http/1.1","",""
"cipherlist_NULL","developers.cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","developers.cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","developers.cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_LOW","developers.cardano.org/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","developers.cardano.org/75.2.60.5","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","developers.cardano.org/75.2.60.5","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","developers.cardano.org/75.2.60.5","443","INFO","not offered","",""
"cipherlist_STRONG_FS","developers.cardano.org/75.2.60.5","443","OK","offered","",""
"cipher_order-tls1_2","developers.cardano.org/75.2.60.5","443","OK","server","",""
"cipherorder_TLSv1_2","developers.cardano.org/75.2.60.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","developers.cardano.org/75.2.60.5","443","OK","server -- TLS 1.3 client determined","",""
"FS","developers.cardano.org/75.2.60.5","443","OK","offered","",""
"FS_ciphers","developers.cardano.org/75.2.60.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_KEMs","developers.cardano.org/75.2.60.5","443","LOW","No KEMs offered","",""
"FS_ECDHE_curves","developers.cardano.org/75.2.60.5","443","OK","prime256v1","",""
"TLS_extensions","developers.cardano.org/75.2.60.5","443","INFO","'server name/#0' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","developers.cardano.org/75.2.60.5","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","developers.cardano.org/75.2.60.5","443","INFO","yes","",""
"sessionresumption_ticket","developers.cardano.org/75.2.60.5","443","INFO","not supported","",""
"sessionresumption_ID","developers.cardano.org/75.2.60.5","443","INFO","not supported","",""
"TLS_timestamp","developers.cardano.org/75.2.60.5","443","INFO","random","",""
"certificate_compression","developers.cardano.org/75.2.60.5","443","INFO","none","",""
"clientAuth","developers.cardano.org/75.2.60.5","443","INFO","none","",""
"cert_numbers","developers.cardano.org/75.2.60.5","443","INFO","1","",""
"cert_signatureAlgorithm","developers.cardano.org/75.2.60.5","443","OK","ECDSA with SHA384","",""
"cert_keySize","developers.cardano.org/75.2.60.5","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","developers.cardano.org/75.2.60.5","443","INFO","Digital Signature","",""
"cert_extKeyUsage","developers.cardano.org/75.2.60.5","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","developers.cardano.org/75.2.60.5","443","INFO","05BAF8F411AC613DD0D25D546749E73E22C2","",""
"cert_serialNumberLen","developers.cardano.org/75.2.60.5","443","INFO","18","",""
"cert_fingerprintSHA1","developers.cardano.org/75.2.60.5","443","INFO","908B10661E1EB5051800D17FFB009D4775EC7365","",""
"cert_fingerprintSHA256","developers.cardano.org/75.2.60.5","443","INFO","3BD09782BB7D219B98BCAA9381B1D3A0F8B98190603F417B48DAC652190E81DF","",""
